target_word,similar_word,similarity_score,method,model
人文主義,一大筆錢,1.0,jaccard,fasttext
人文主義,巴不得,1.0,jaccard,fasttext
人文主義,野菊,1.0,jaccard,fasttext
人文主義,條例,1.0,jaccard,fasttext
人文主義,穿戴,1.0,jaccard,fasttext
人文主義,珍惜,1.0,jaccard,fasttext
人文主義,設計,1.0,jaccard,fasttext
人文主義,華麗,1.0,jaccard,fasttext
人文主義,破碎,1.0,jaccard,fasttext
人文主義,飛禽,1.0,jaccard,fasttext
人文主義,氣味,1.0,jaccard,fasttext
人文主義,請客,1.0,jaccard,fasttext
人文主義,忠實可靠,1.0,jaccard,fasttext
人文主義,胡說,1.0,jaccard,fasttext
人文主義,集成,1.0,jaccard,fasttext
人文主義,好不好,1.0,jaccard,fasttext
人文主義,特別喜愛,1.0,jaccard,fasttext
人文主義,一驚,1.0,jaccard,fasttext
人文主義,十餘名,1.0,jaccard,fasttext
人文主義,嘴角,1.0,jaccard,fasttext
