target_word,similar_word,similarity_score,method,model
人道主義,滿以爲,1.0,jaccard,fasttext
人道主義,那方,1.0,jaccard,fasttext
人道主義,每晚,1.0,jaccard,fasttext
人道主義,姑媽,1.0,jaccard,fasttext
人道主義,小市鎮,1.0,jaccard,fasttext
人道主義,性質,1.0,jaccard,fasttext
人道主義,胆敢,1.0,jaccard,fasttext
人道主義,恰當,1.0,jaccard,fasttext
人道主義,花環,1.0,jaccard,fasttext
人道主義,爲生,1.0,jaccard,fasttext
人道主義,登陸,1.0,jaccard,fasttext
人道主義,濃郁,1.0,jaccard,fasttext
人道主義,男女老少,1.0,jaccard,fasttext
人道主義,三番五次,1.0,jaccard,fasttext
人道主義,第一個,1.0,jaccard,fasttext
人道主義,做到,1.0,jaccard,fasttext
人道主義,拜神,1.0,jaccard,fasttext
人道主義,甚且,1.0,jaccard,fasttext
人道主義,無論如何,1.0,jaccard,fasttext
人道主義,有名,1.0,jaccard,fasttext
