target_word,similar_word,similarity_score,method,model
人本主義,戀情,1.0,jaccard,fasttext
人本主義,勝訴,1.0,jaccard,fasttext
人本主義,閣員,1.0,jaccard,fasttext
人本主義,運輸,1.0,jaccard,fasttext
人本主義,很久以前,1.0,jaccard,fasttext
人本主義,馬票,1.0,jaccard,fasttext
人本主義,呻吟聲,1.0,jaccard,fasttext
人本主義,浪漫主義,1.0,jaccard,fasttext
人本主義,熱吻,1.0,jaccard,fasttext
人本主義,種皮,1.0,jaccard,fasttext
人本主義,低賤,1.0,jaccard,fasttext
人本主義,笑柄,1.0,jaccard,fasttext
人本主義,角頭,1.0,jaccard,fasttext
人本主義,相宜,1.0,jaccard,fasttext
人本主義,拳術,1.0,jaccard,fasttext
人本主義,我愛你,1.0,jaccard,fasttext
人本主義,背道而馳,1.0,jaccard,fasttext
人本主義,長子,1.0,jaccard,fasttext
人本主義,那輛,1.0,jaccard,fasttext
人本主義,次要,1.0,jaccard,fasttext
